measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2003,33.754070246706526,34.22383410033826,33.03891944114217
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2003,249.60682178022216,254.3083592798325,245.40905522831696
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2003,181.32871571639367,184.63991066656772,177.00226972564985
Deaths,Russian Federation,Male,All ages,All causes,Rate,2003,1830.1144266608283,1833.856099507112,1826.089834596904
Deaths,Russian Federation,Female,All ages,All causes,Rate,2003,1358.42078729978,1362.626713883536,1354.5333759166588
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2003,50.26977332961182,50.854899404101765,49.29975063799195
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2003,15.956202371546997,16.191354344953606,15.501375933869282
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2004,147.75643319441508,148.9982087821315,145.53520936932742
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2004,32.02698352256164,32.36997620116893,31.50617987037797
Deaths,Russian Federation,Male,All ages,All causes,Rate,2004,1798.9427077616783,1802.9927767218678,1795.2319618263946
Deaths,Russian Federation,Female,All ages,All causes,Rate,2004,1325.8094065694122,1329.7692191635458,1321.6158317463291
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2004,49.83808047518348,50.49696107642539,48.577218340874495
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2004,15.588536477283355,15.803411412567055,15.247298008970418
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2005,148.72994215280394,150.68553932940995,145.15193078467385
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2005,31.545449559624597,32.022049999496,30.486256492029085
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2005,134.60597966224412,139.7083861728148,132.35823080041922
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2005,33.712844572701165,34.542645158989075,32.7149912561867
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2005,254.36513636813578,260.66075693159183,249.54334968148873
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2005,185.596566546284,189.42978236294815,180.48423423104234
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1991,88.46459398906055,90.46022289677231,86.71396520073985
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1991,21.972756730518398,22.781866232639175,21.48403035519258
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1992,88.52681713310767,89.85080196102368,87.43486111465918
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1992,23.1161297752582,24.23806911252554,22.471970669260756
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1992,228.90928524815692,233.15081032711623,224.98048873970114
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1992,161.62124339090062,164.26845252183588,157.62486294096533
Deaths,Russian Federation,Male,All ages,All causes,Rate,2006,1727.1541866831355,1730.8079937340976,1723.5858619075666
Deaths,Russian Federation,Female,All ages,All causes,Rate,2006,1287.8585593598025,1291.7785138358663,1284.0808149132786
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2006,129.13320355784353,130.7891446311073,127.31205350296267
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2006,27.485177592108617,27.81124764348415,26.95923073333179
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2006,48.17421352186984,49.01351579573049,46.284539552821386
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2006,14.77211424340893,15.008635639371118,14.418302116638273
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2006,118.58725829023001,119.96365478710365,117.43221481918815
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2006,30.523269861339013,31.004181655341792,29.746408340866832
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2006,237.00352650334244,241.13152769970307,233.13544677593467
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2006,177.64824342435782,180.37500064872995,172.40709716196528
Deaths,Russian Federation,Male,All ages,All causes,Rate,1993,1548.9474158054607,1552.4945925698205,1545.6197431171036
Deaths,Russian Federation,Female,All ages,All causes,Rate,1993,1239.8459202324398,1243.93754722033,1235.5945696621131
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1993,54.26934599829479,55.62647917920526,49.64564136496788
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1993,14.569867222431489,14.883962105644867,13.862338648062487
Deaths,Russian Federation,Male,All ages,All causes,Rate,2007,1646.0803066641913,1650.272339588741,1642.3856466762845
Deaths,Russian Federation,Female,All ages,All causes,Rate,2007,1249.3803608017301,1253.6673273137978,1245.412190038598
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2007,45.16807637556429,46.031828980291074,44.400848095863715
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2007,13.91811102729294,14.119190753992635,13.64928258769814
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2007,107.4664591209098,108.45273532900843,106.5573492544978
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2007,28.259532706380217,28.726886909043486,27.518029163356815
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2007,230.41004992141882,234.3169304427717,226.0558086795157
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2007,174.6541117501804,177.37871954251975,169.18843855977002
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1995,163.17005456480987,165.60209607302386,157.62337611961118
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1995,36.01927641655817,36.535575403919395,35.30711526417455
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,1996,113.29236327714486,114.68971230860184,112.36287126381457
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,1996,28.617886590466398,29.467052031751557,28.04400951876177
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,1996,245.16281784744464,249.53765645150497,242.2572733527992
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,1996,171.20257952143928,173.84341328886723,167.0206517061846
Deaths,Russian Federation,Male,All ages,All causes,Rate,2008,1652.5833994390646,1656.440771754487,1648.4927421280827
Deaths,Russian Federation,Female,All ages,All causes,Rate,2008,1255.8802164529404,1260.3601706271027,1251.9034854148238
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2008,115.23809168127552,116.34338581379644,113.51368917326393
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2008,24.593649632549486,24.908932033376384,24.186686390407512
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2008,43.45145297732577,44.40940250120993,42.40351281483828
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2008,13.480330179661447,13.682397962219058,13.204450743929538
Deaths,Russian Federation,Male,All ages,All causes,Rate,1997,1433.911372917283,1437.2590433749,1430.5359325555228
Deaths,Russian Federation,Female,All ages,All causes,Rate,1997,1201.1158995258993,1205.0888028599077,1197.1635616865767
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,1997,40.23036657152628,42.12674773285647,39.55744208528039
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,1997,12.53484580837021,12.908612307797412,12.295083415116332
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,1999,148.91746293067473,151.82787218853846,146.68941460163933
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,1999,34.366682539698616,35.46868032729961,33.492467367918444
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2000,122.01107431976469,123.26690670264497,121.07967518972059
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2000,30.442414224370573,30.92431387883174,29.938242760566197
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2000,244.9747302538257,249.0726509238395,241.670175624679
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2000,173.57168747289467,176.0776369254348,169.38587167412987
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2010,95.95581587064193,97.11628865165952,95.06855923126035
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2010,27.015335553750063,27.530875857150985,26.213505453350503
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2010,238.44546472448314,242.90265526142863,233.1701491887535
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2010,181.17111482191513,184.3445516400218,174.8721324386071
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2010,102.59501140390888,103.5088748419009,101.79486299327024
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2010,22.533534439761844,22.906399792800148,22.096293282544714
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2009,230.87361000837754,233.80358494922683,226.28817583010022
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2009,176.83817283310592,179.6153709663633,170.96322731572866
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2009,93.70883900469484,94.50145623543663,92.7669660333376
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2009,25.816398041330576,26.251857220073596,25.086190203287472
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2009,104.4918309257725,105.57258626366932,103.70131278949611
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2009,23.022556303890948,23.358687397705385,22.62439268551112
Deaths,Russian Federation,Male,All ages,All causes,Rate,2010,1577.7856312298327,1581.6252178183308,1573.9054960565509
Deaths,Russian Federation,Female,All ages,All causes,Rate,2010,1236.5479090961978,1240.4992994315428,1232.4606321988067
Deaths,Russian Federation,Male,All ages,All causes,Rate,2001,1727.3759784078895,1731.076496830234,1723.6219403115226
Deaths,Russian Federation,Female,All ages,All causes,Rate,2001,1314.9766611293526,1318.9265342460055,1311.1223002405663
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2001,47.91492544083164,48.430375754429356,47.40080166783866
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2001,14.945706133596099,15.146014136417453,14.727593392395782
