measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2005,1247.9786094273686,1251.7651583702734,1244.1560997758459
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2008,1293.9407604969244,1297.2955103201662,1290.4185636910597
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2008,1158.6743521725293,1162.894785168113,1154.647267249976
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2003,1387.5100468875837,1391.1923790676374,1383.6676229597633
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2003,1243.7438069190396,1247.939648661059,1239.837803739979
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2008,96.35348401608455,97.83915626066025,95.33508183718723
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2008,31.61813624378837,32.408550350674275,30.88182809876414
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2007,230.41004992141882,234.3169304427717,226.0558086795157
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2007,174.6541117501804,177.37871954251975,169.18843855977002
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2008,262.28915492605483,263.9251447604919,260.01480443544534
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2008,65.58772803662033,66.43390731046959,64.29782805001396
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2007,96.8793603640017,98.05365460317783,95.73129719655736
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2007,31.293651343463214,32.084137600404915,30.593042149052533
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2007,271.58724112533804,273.2886900979937,268.9709515282792
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2007,67.5374698392051,68.33916441307623,66.32231985438966
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2009,230.87361000837754,233.80358494922683,226.28817583010022
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2009,176.83817283310592,179.6153709663633,170.96322731572866
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2005,113.55412032875574,118.57140241386276,112.00405922346995
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2005,33.20363544582423,34.08467620932821,32.19685516721782
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2009,1235.2192110999215,1238.6712343388747,1231.8158367615029
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2009,1133.3560489069393,1137.715087981673,1129.3280440346407
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2005,335.69205980077237,338.8454696869634,331.3132666608847
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2005,81.3748667665559,82.46794466666798,79.37143679400155
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2007,1277.6137051748528,1281.758308827605,1273.9928463601873
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2007,1150.5492396190589,1154.769578667354,1146.5510182664918
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2009,90.89706240502983,92.03196368691965,89.81665127957557
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2009,31.402290186018934,32.13748966200794,30.64843551631039
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2010,90.16230290323975,91.36023101026053,89.1163280126426
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2010,31.594933731399113,32.28548258930258,30.728171702378887
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2009,237.80744353772482,239.3781463682435,236.3816939688589
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2009,61.25383577980624,62.02148804993798,60.02637477901995
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2010,1250.1468141583011,1253.6387695483652,1246.4207112030685
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2010,1143.3348857567066,1147.3545658058363,1139.4976583740195
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2010,238.44546472448314,242.90265526142863,233.1701491887535
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2010,181.17111482191513,184.3445516400218,174.8721324386071
